Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
1506,[01:58:19.155],674.00,533.00,685.00,693.00,674.00,578.00
1507,[01:58:19.195],684.00,527.00,688.00,691.00,700.00,578.00
1508,[01:58:19.235],681.00,578.00,692.00,688.00,693.00,571.00
1509,[01:58:19.275],692.00,578.00,689.00,675.00,701.00,578.00
1510,[01:58:19.316],693.00,538.00,679.00,672.00,677.00,563.00
1511,[01:58:19.356],681.00,525.00,685.00,677.00,688.00,578.00
1512,[01:58:19.396],690.00,578.00,705.00,698.00,687.00,578.00
1513,[01:58:19.436],674.00,578.00,678.00,675.00,703.00,568.00
1514,[01:58:19.476],692.00,578.00,690.00,684.00,679.00,578.00
1515,[01:58:19.517],701.00,510.00,696.00,687.00,682.00,572.00
1516,[01:58:19.556],692.00,578.00,689.00,686.00,671.00,578.00
1517,[01:58:19.596],682.00,578.00,677.00,693.00,691.00,559.00
1518,[01:58:19.636],684.00,675.00,679.00,677.00,684.00,570.00
1519,[01:58:19.677],689.00,673.00,692.00,672.00,670.00,558.00
1520,[01:58:19.717],689.00,537.00,682.00,681.00,695.00,563.00
1521,[01:58:19.757],696.00,578.00,682.00,693.00,691.00,578.00
1522,[01:58:19.797],685.00,529.00,685.00,687.00,694.00,578.00
1523,[01:58:19.837],708.00,578.00,679.00,694.00,685.00,578.00
1524,[01:58:19.877],712.00,578.00,686.00,682.00,690.00,578.00
1525,[01:58:19.918],689.00,578.00,685.00,692.00,696.00,578.00
1526,[01:58:19.957],680.00,525.00,696.00,687.00,689.00,560.00
1527,[01:58:19.997],676.00,671.00,745.00,899.00,7053.0,5705.0
1528,[01:58:20.038],44345,34366,49240,49255,48477,39944
1529,[01:58:20.078],49960,38272,49165,49320,48337,39818
1530,[01:58:20.118],29165,22207,23273,23214,16477,13696
1531,[01:58:20.158],691.00,578.00,690.00,682.00,700.00,578.00
1532,[01:58:20.198],700.00,578.00,688.00,694.00,687.00,553.00
1533,[01:58:20.238],674.00,578.00,680.00,678.00,676.00,570.00
1534,[01:58:20.279],681.00,578.00,690.00,681.00,688.00,578.00
1535,[01:58:20.318],696.00,578.00,682.00,675.00,697.00,578.00
1536,[01:58:20.358],682.00,526.00,677.00,702.00,668.00,578.00
1537,[01:58:20.399],681.00,578.00,701.00,682.00,680.00,578.00
1538,[01:58:20.439],688.00,674.00,686.00,674.00,675.00,572.00
1539,[01:58:20.479],682.00,578.00,687.00,691.00,670.00,572.00
1540,[01:58:20.519],686.00,578.00,677.00,687.00,687.00,561.00
1541,[01:58:20.559],670.00,523.00,690.00,689.00,689.00,559.00
1542,[01:58:20.599],683.00,535.00,698.00,705.00,685.00,578.00
1543,[01:58:20.639],688.00,578.00,689.00,689.00,687.00,578.00
1544,[01:58:20.679],673.00,578.00,677.00,680.00,693.00,565.00
1545,[01:58:20.719],685.00,535.00,689.00,684.00,698.00,578.00
1546,[01:58:20.759],672.00,578.00,673.00,683.00,676.00,558.00
1547,[01:58:20.800],687.00,521.00,695.00,690.00,683.00,562.00
1548,[01:58:20.839],692.00,578.00,684.00,686.00,699.00,578.00
1549,[01:58:20.880],676.00,578.00,682.00,682.00,663.00,564.00
1550,[01:58:20.920],689.00,578.00,683.00,690.00,679.00,578.00
1551,[01:58:20.960],686.00,578.00,680.00,691.00,698.00,578.00
1552,[01:58:21.000],687.00,578.00,4011.0,4042.0,10217,8445.0
1553,[01:58:21.040],47916,36884,49303,49308,48507,40055
1554,[01:58:21.081],49915,38225,49178,49246,48271,48598
1555,[01:58:21.120],26920,20693,21184,21109,14501,12068
1556,[01:58:21.161],692.00,541.00,676.00,675.00,676.00,578.00
1557,[01:58:21.201],699.00,526.00,686.00,691.00,685.00,578.00
1558,[01:58:21.241],689.00,578.00,694.00,684.00,683.00,578.00
1559,[01:58:21.281],674.00,578.00,695.00,697.00,677.00,578.00
1560,[01:58:21.321],693.00,578.00,680.00,684.00,691.00,578.00
1561,[01:58:21.361],690.00,543.00,687.00,685.00,687.00,566.00
1562,[01:58:21.401],682.00,508.00,672.00,686.00,682.00,578.00
1563,[01:58:21.441],677.00,578.00,669.00,688.00,689.00,570.00
1564,[01:58:21.481],697.00,578.00,678.00,673.00,678.00,563.00
1565,[01:58:21.522],679.00,526.00,695.00,696.00,694.00,571.00
1566,[01:58:21.562],682.00,578.00,690.00,688.00,676.00,578.00
1567,[01:58:21.602],691.00,533.00,681.00,691.00,677.00,565.00
1568,[01:58:21.642],700.00,523.00,675.00,696.00,679.00,578.00
1569,[01:58:21.682],670.00,513.00,670.00,687.00,691.00,578.00
1570,[01:58:21.722],693.00,578.00,686.00,686.00,687.00,562.00
1571,[01:58:21.762],677.00,670.00,687.00,693.00,692.00,578.00
1572,[01:58:21.802],693.00,578.00,694.00,677.00,690.00,578.00
1573,[01:58:21.842],696.00,578.00,702.00,686.00,695.00,562.00
1574,[01:58:21.883],688.00,524.00,695.00,680.00,693.00,578.00
1575,[01:58:21.923],696.00,578.00,691.00,692.00,690.00,578.00
1576,[01:58:21.963],688.00,578.00,692.00,687.00,694.00,559.00
1577,[01:58:22.003],1875.0,1745.0,7277.0,7313.0,13570,11062
1578,[01:58:22.043],49841,38343,49158,49156,48630,39880
1579,[01:58:22.083],49817,38252,49252,49092,48408,40020
1580,[01:58:22.123],22394,17103,16605,16719,10044,8311.0
1581,[01:58:22.163],677.00,578.00,688.00,690.00,683.00,578.00
1582,[01:58:22.203],668.00,531.00,695.00,698.00,677.00,578.00
1583,[01:58:22.243],678.00,578.00,698.00,694.00,690.00,578.00
1584,[01:58:22.284],674.00,578.00,691.00,677.00,692.00,561.00
1585,[01:58:22.324],694.00,578.00,674.00,685.00,663.00,578.00
1586,[01:58:22.364],692.00,535.00,683.00,688.00,688.00,568.00
1587,[01:58:22.404],668.00,672.00,689.00,688.00,687.00,575.00
1588,[01:58:22.444],678.00,516.00,685.00,684.00,685.00,570.00
1589,[01:58:22.484],693.00,578.00,698.00,684.00,684.00,578.00
1590,[01:58:22.524],694.00,522.00,684.00,689.00,697.00,563.00
1591,[01:58:22.564],686.00,526.00,681.00,680.00,702.00,552.00
1592,[01:58:22.605],675.00,673.00,673.00,689.00,687.00,563.00
1593,[01:58:22.645],704.00,578.00,683.00,682.00,673.00,561.00
1594,[01:58:22.685],674.00,578.00,690.00,696.00,681.00,578.00
1595,[01:58:22.725],673.00,528.00,675.00,686.00,678.00,560.00
1596,[01:58:22.765],685.00,578.00,689.00,684.00,694.00,564.00
1597,[01:58:22.805],685.00,524.00,692.00,694.00,677.00,578.00
1598,[01:58:22.845],684.00,534.00,672.00,695.00,681.00,578.00
1599,[01:58:22.885],691.00,515.00,680.00,684.00,687.00,578.00
1600,[01:58:22.926],675.00,536.00,677.00,683.00,679.00,556.00
1601,[01:58:22.965],690.00,578.00,687.00,694.00,700.00,578.00
1602,[01:58:23.005],5157.0,4145.0,10691,10637,16839,13809
1603,[01:58:23.046],49870,38221,49198,49286,48379,39893
1604,[01:58:23.086],49839,38377,48960,49304,48413,48538
1605,[01:58:23.126],20422,15517,14633,14585,8048.0,6717.0
1606,[01:58:23.166],685.00,578.00,677.00,684.00,680.00,578.00
1607,[01:58:23.206],677.00,516.00,700.00,682.00,676.00,569.00
1608,[01:58:23.246],699.00,524.00,686.00,694.00,666.00,578.00
1609,[01:58:23.286],687.00,533.00,691.00,687.00,679.00,578.00
1610,[01:58:23.327],689.00,530.00,679.00,669.00,688.00,578.00
1611,[01:58:23.367],678.00,530.00,680.00,683.00,691.00,578.00
1612,[01:58:23.407],693.00,525.00,681.00,688.00,693.00,578.00
1613,[01:58:23.447],703.00,538.00,702.00,689.00,686.00,578.00
1614,[01:58:23.487],685.00,666.00,686.00,683.00,677.00,578.00
1615,[01:58:23.527],680.00,578.00,695.00,690.00,659.00,578.00
1616,[01:58:23.567],666.00,578.00,686.00,694.00,691.00,578.00
1617,[01:58:23.607],682.00,578.00,669.00,693.00,692.00,566.00
1618,[01:58:23.647],674.00,578.00,685.00,688.00,685.00,574.00
1619,[01:58:23.687],701.00,578.00,697.00,678.00,671.00,578.00
1620,[01:58:23.728],688.00,538.00,685.00,686.00,686.00,578.00
1621,[01:58:23.768],683.00,528.00,681.00,670.00,696.00,578.00
1622,[01:58:23.808],683.00,578.00,680.00,691.00,676.00,578.00
1623,[01:58:23.848],711.00,578.00,671.00,677.00,687.00,578.00
1624,[01:58:23.888],675.00,578.00,674.00,680.00,695.00,576.00
1625,[01:58:23.928],693.00,578.00,674.00,686.00,686.00,578.00
1626,[01:58:23.969],683.00,578.00,676.00,691.00,707.00,578.00
1627,[01:58:24.009],8554.0,6685.0,14035,13901,20158,16648
1628,[01:58:24.049],49896,38308,49076,49286,48324,39976
1629,[01:58:24.089],49714,38122,49124,49146,48446,39898
1630,[01:58:24.129],15767,12032,10168,10104,3611.0,3758.0
1631,[01:58:24.169],679.00,578.00,687.00,693.00,688.00,578.00
1632,[01:58:24.209],683.00,578.00,677.00,695.00,673.00,578.00
1633,[01:58:24.249],688.00,578.00,693.00,692.00,687.00,553.00
1634,[01:58:24.289],688.00,578.00,678.00,695.00,678.00,578.00
1635,[01:58:24.329],667.00,578.00,690.00,688.00,672.00,578.00
1636,[01:58:24.369],689.00,524.00,698.00,677.00,689.00,565.00
1637,[01:58:24.409],691.00,578.00,686.00,676.00,686.00,569.00
1638,[01:58:24.449],666.00,578.00,675.00,696.00,684.00,564.00
1639,[01:58:24.490],695.00,532.00,678.00,687.00,679.00,556.00
1640,[01:58:24.530],682.00,525.00,690.00,677.00,675.00,553.00
1641,[01:58:24.571],685.00,534.00,689.00,682.00,684.00,556.00
1642,[01:58:24.610],689.00,524.00,686.00,678.00,686.00,578.00
1643,[01:58:24.650],705.00,578.00,686.00,678.00,689.00,578.00
1644,[01:58:24.690],688.00,525.00,672.00,672.00,669.00,565.00
1645,[01:58:24.730],663.00,522.00,680.00,678.00,694.00,578.00
1646,[01:58:24.770],689.00,525.00,679.00,681.00,695.00,555.00
1647,[01:58:24.810],683.00,578.00,696.00,684.00,674.00,578.00
1648,[01:58:24.851],682.00,675.00,683.00,679.00,683.00,578.00
1649,[01:58:24.891],698.00,535.00,688.00,677.00,686.00,562.00
1650,[01:58:24.931],682.00,517.00,695.00,679.00,701.00,578.00
1651,[01:58:24.971],695.00,533.00,682.00,683.00,687.00,578.00
1652,[01:58:25.011],11888,9426.0,17300,17284,23372,19229
1653,[01:58:25.052],49721,38305,49078,49074,48379,48510
1654,[01:58:25.091],49725,38158,49322,49078,48280,39933
1655,[01:58:25.132],13821,10487,8143.0,8126.0,1686.0,1471.0
1656,[01:58:25.172],702.00,578.00,686.00,692.00,671.00,578.00
1657,[01:58:25.212],675.00,535.00,698.00,683.00,685.00,575.00
1658,[01:58:25.252],691.00,578.00,688.00,690.00,710.00,578.00
1659,[01:58:25.292],695.00,578.00,702.00,687.00,691.00,578.00
1660,[01:58:25.332],692.00,525.00,683.00,684.00,707.00,574.00
1661,[01:58:25.372],691.00,536.00,690.00,677.00,687.00,578.00
1662,[01:58:25.413],665.00,537.00,689.00,670.00,702.00,561.00
1663,[01:58:25.453],701.00,539.00,678.00,681.00,679.00,578.00
1664,[01:58:25.492],682.00,522.00,701.00,689.00,691.00,566.00
1665,[01:58:25.533],680.00,510.00,676.00,688.00,669.00,579.00
1666,[01:58:25.572],701.00,578.00,672.00,692.00,694.00,565.00
1667,[01:58:25.613],682.00,673.00,705.00,693.00,683.00,578.00
1668,[01:58:25.653],702.00,578.00,687.00,700.00,681.00,578.00
1669,[01:58:25.693],685.00,539.00,706.00,674.00,695.00,578.00
1670,[01:58:25.733],673.00,578.00,678.00,688.00,690.00,578.00
1671,[01:58:25.773],673.00,540.00,683.00,683.00,698.00,566.00
1672,[01:58:25.813],688.00,578.00,691.00,672.00,692.00,578.00
1673,[01:58:25.853],692.00,525.00,688.00,693.00,682.00,561.00
1674,[01:58:25.893],691.00,578.00,685.00,690.00,690.00,567.00
1675,[01:58:25.933],688.00,522.00,685.00,677.00,671.00,578.00
1676,[01:58:25.974],686.00,668.00,693.00,682.00,691.00,560.00
1677,[01:58:26.014],15324,11911,20653,20661,26703,21967
1678,[01:58:26.054],49674,38317,49162,49104,48446,39924
1679,[01:58:26.094],49709,38253,49256,49322,45166,37282
1680,[01:58:26.135],9191.0,6883.0,3663.0,3514.0,683.00,557.00
1681,[01:58:26.174],696.00,578.00,699.00,685.00,666.00,564.00
1682,[01:58:26.214],689.00,578.00,683.00,676.00,689.00,553.00
1683,[01:58:26.254],718.00,578.00,680.00,693.00,667.00,578.00
1684,[01:58:26.295],689.00,578.00,701.00,679.00,687.00,578.00
1685,[01:58:26.335],676.00,578.00,683.00,685.00,685.00,555.00
1686,[01:58:26.375],695.00,531.00,681.00,673.00,684.00,562.00
1687,[01:58:26.415],693.00,578.00,700.00,692.00,689.00,575.00
1688,[01:58:26.455],667.00,578.00,681.00,691.00,691.00,565.00
1689,[01:58:26.495],676.00,578.00,672.00,686.00,682.00,578.00
1690,[01:58:26.535],700.00,578.00,687.00,690.00,672.00,578.00
1691,[01:58:26.575],691.00,578.00,682.00,700.00,683.00,555.00
1692,[01:58:26.615],684.00,535.00,696.00,682.00,690.00,556.00
1693,[01:58:26.656],683.00,530.00,695.00,690.00,666.00,578.00
1694,[01:58:26.695],695.00,578.00,702.00,691.00,689.00,560.00
1695,[01:58:26.736],684.00,528.00,685.00,677.00,687.00,578.00
1696,[01:58:26.776],683.00,578.00,693.00,681.00,676.00,578.00
1697,[01:58:26.816],690.00,578.00,695.00,690.00,697.00,578.00
1698,[01:58:26.856],685.00,578.00,695.00,687.00,685.00,578.00
1699,[01:58:26.897],692.00,528.00,681.00,694.00,672.00,578.00
1700,[01:58:26.936],684.00,531.00,683.00,686.00,685.00,578.00
1701,[01:58:26.976],692.00,528.00,673.00,671.00,682.00,564.00
1702,[01:58:27.018],18630,14571,23917,23938,29874,29866
1703,[01:58:27.057],49797,38329,49138,49151,48486,39929
1704,[01:58:27.097],49892,38435,49097,49209,42995,35609
1705,[01:58:27.137],7071.0,5318.0,1615.0,1445.0,704.00,560.00
1706,[01:58:27.177],678.00,578.00,683.00,666.00,700.00,563.00
1707,[01:58:27.217],683.00,578.00,664.00,697.00,681.00,548.00
1708,[01:58:27.257],680.00,578.00,689.00,696.00,691.00,564.00
1709,[01:58:27.297],675.00,534.00,699.00,683.00,689.00,578.00
1710,[01:58:27.337],672.00,578.00,679.00,683.00,674.00,578.00
1711,[01:58:27.378],684.00,578.00,690.00,679.00,684.00,578.00
1712,[01:58:27.418],689.00,538.00,692.00,688.00,690.00,578.00
1713,[01:58:27.458],699.00,578.00,702.00,674.00,691.00,564.00
1714,[01:58:27.498],687.00,578.00,686.00,699.00,679.00,558.00
1715,[01:58:27.538],697.00,515.00,699.00,677.00,690.00,563.00
1716,[01:58:27.578],699.00,578.00,687.00,688.00,675.00,578.00
1717,[01:58:27.618],693.00,525.00,668.00,685.00,696.00,578.00
1718,[01:58:27.658],691.00,525.00,691.00,695.00,681.00,578.00
1719,[01:58:27.698],687.00,578.00,683.00,683.00,674.00,578.00
1720,[01:58:27.739],689.00,543.00,681.00,693.00,688.00,547.00
1721,[01:58:27.779],693.00,518.00,701.00,683.00,693.00,550.00
1722,[01:58:27.819],682.00,534.00,688.00,690.00,681.00,578.00
1723,[01:58:27.859],689.00,666.00,684.00,695.00,674.00,578.00
1724,[01:58:27.899],692.00,578.00,668.00,680.00,683.00,578.00
1725,[01:58:27.939],680.00,667.00,681.00,690.00,674.00,567.00
1726,[01:58:27.979],672.00,578.00,679.00,685.00,665.00,578.00
1727,[01:58:28.019],22003,17137,27250,27343,33151,27205
1728,[01:58:28.059],49805,38337,49265,49201,48474,39901
1729,[01:58:28.099],49780,38307,47046,46991,39893,32974
1730,[01:58:28.139],3853.0,2844.0,680.00,670.00,678.00,563.00
1731,[01:58:28.180],687.00,531.00,675.00,683.00,697.00,578.00
1732,[01:58:28.220],679.00,507.00,701.00,673.00,685.00,562.00
1733,[01:58:28.260],658.00,578.00,682.00,687.00,693.00,578.00
1734,[01:58:28.300],682.00,523.00,692.00,676.00,679.00,554.00
1735,[01:58:28.340],675.00,538.00,683.00,686.00,687.00,578.00
1736,[01:58:28.380],688.00,675.00,693.00,684.00,689.00,572.00
1737,[01:58:28.420],689.00,578.00,682.00,677.00,682.00,578.00
1738,[01:58:28.460],688.00,578.00,686.00,682.00,680.00,578.00
1739,[01:58:28.501],678.00,578.00,689.00,686.00,673.00,569.00
1740,[01:58:28.541],696.00,530.00,686.00,685.00,699.00,578.00
1741,[01:58:28.581],680.00,532.00,685.00,685.00,683.00,578.00
1742,[01:58:28.621],681.00,532.00,686.00,672.00,707.00,564.00
1743,[01:58:28.661],692.00,578.00,680.00,679.00,693.00,578.00
1744,[01:58:28.701],688.00,519.00,685.00,689.00,684.00,569.00
1745,[01:58:28.741],666.00,522.00,669.00,683.00,686.00,547.00
1746,[01:58:28.781],678.00,578.00,687.00,683.00,684.00,578.00
1747,[01:58:28.821],689.00,578.00,681.00,690.00,689.00,578.00
1748,[01:58:28.862],682.00,531.00,676.00,690.00,690.00,578.00
1749,[01:58:28.901],684.00,519.00,691.00,695.00,689.00,578.00
1750,[01:58:28.942],678.00,578.00,675.00,675.00,690.00,578.00
1751,[01:58:28.982],689.00,578.00,676.00,677.00,667.00,578.00
1752,[01:58:29.022],25413,19564,30516,30663,36404,30019
1753,[01:58:29.062],49732,38219,49267,49159,48506,39907
1754,[01:58:29.102],49598,38017,43656,43606,36646,30334
1755,[01:58:29.142],689.00,578.00,679.00,678.00,683.00,578.00
1756,[01:58:29.182],678.00,578.00,683.00,678.00,688.00,578.00
1757,[01:58:29.223],681.00,551.00,685.00,678.00,681.00,578.00
1758,[01:58:29.262],686.00,578.00,689.00,700.00,682.00,549.00
1759,[01:58:29.303],671.00,578.00,699.00,702.00,697.00,572.00
1760,[01:58:29.343],674.00,578.00,676.00,668.00,678.00,557.00
1761,[01:58:29.384],693.00,578.00,685.00,688.00,702.00,578.00
1762,[01:58:29.423],686.00,578.00,708.00,688.00,681.00,578.00
1763,[01:58:29.463],672.00,578.00,679.00,695.00,688.00,557.00
1764,[01:58:29.503],695.00,578.00,680.00,669.00,684.00,568.00
1765,[01:58:29.543],683.00,578.00,701.00,680.00,688.00,558.00
1766,[01:58:29.584],675.00,578.00,684.00,683.00,695.00,578.00
1767,[01:58:29.624],671.00,578.00,699.00,697.00,686.00,566.00
1768,[01:58:29.664],703.00,578.00,675.00,686.00,695.00,578.00
1769,[01:58:29.704],708.00,673.00,686.00,673.00,670.00,569.00
1770,[01:58:29.744],680.00,530.00,696.00,683.00,681.00,554.00
1771,[01:58:29.784],695.00,578.00,682.00,686.00,687.00,560.00
1772,[01:58:29.824],680.00,669.00,695.00,687.00,688.00,578.00
1773,[01:58:29.864],703.00,524.00,681.00,682.00,684.00,578.00
1774,[01:58:29.904],679.00,578.00,675.00,693.00,679.00,578.00
1775,[01:58:29.944],696.00,578.00,679.00,672.00,677.00,578.00
1776,[01:58:29.986],676.00,539.00,677.00,676.00,692.00,578.00
1777,[01:58:30.025],28799,22309,33759,33896,39672,32737
1778,[01:58:30.065],49638,38349,49343,49335,48335,39804
1779,[01:58:30.105],46377,35553,40382,40434,33313,27531
1780,[01:58:30.145],687.00,578.00,666.00,689.00,697.00,561.00
1781,[01:58:30.185],697.00,578.00,689.00,699.00,674.00,578.00
1782,[01:58:30.225],680.00,578.00,692.00,692.00,692.00,558.00
1783,[01:58:30.265],669.00,528.00,698.00,696.00,679.00,564.00
1784,[01:58:30.305],692.00,531.00,668.00,672.00,689.00,578.00
1785,[01:58:30.346],676.00,530.00,671.00,689.00,677.00,571.00
1786,[01:58:30.386],669.00,578.00,676.00,675.00,679.00,578.00
1787,[01:58:30.426],682.00,578.00,673.00,685.00,695.00,567.00
1788,[01:58:30.466],684.00,578.00,681.00,677.00,699.00,573.00
1789,[01:58:30.506],692.00,671.00,683.00,683.00,686.00,565.00
1790,[01:58:30.546],683.00,578.00,678.00,672.00,674.00,578.00
1791,[01:58:30.586],687.00,578.00,686.00,683.00,687.00,578.00
1792,[01:58:30.626],691.00,535.00,682.00,683.00,706.00,559.00
1793,[01:58:30.666],688.00,578.00,678.00,688.00,693.00,578.00
1794,[01:58:30.707],697.00,578.00,689.00,671.00,668.00,568.00
1795,[01:58:30.747],683.00,541.00,687.00,702.00,681.00,569.00
1796,[01:58:30.787],694.00,525.00,703.00,683.00,685.00,578.00
1797,[01:58:30.827],688.00,527.00,672.00,689.00,696.00,569.00
1798,[01:58:30.868],662.00,526.00,691.00,695.00,674.00,578.00
1799,[01:58:30.907],682.00,516.00,692.00,690.00,676.00,578.00
1800,[01:58:30.947],681.00,531.00,678.00,688.00,676.00,578.00
1801,[01:58:30.987],689.00,535.00,680.00,677.00,675.00,578.00
1802,[01:58:31.027],32212,24657,37384,37297,43016,43025
1803,[01:58:31.068],49680,38330,49185,49189,48420,39975
1804,[01:58:31.108],41975,32035,35837,35836,28968,23931
1805,[01:58:31.148],685.00,578.00,687.00,700.00,682.00,552.00
1806,[01:58:31.188],662.00,513.00,679.00,689.00,680.00,578.00
1807,[01:58:31.228],689.00,578.00,703.00,685.00,692.00,578.00
1808,[01:58:31.269],687.00,578.00,678.00,694.00,690.00,578.00
1809,[01:58:31.308],704.00,539.00,682.00,683.00,696.00,566.00
1810,[01:58:31.349],676.00,578.00,687.00,693.00,685.00,578.00
1811,[01:58:31.388],688.00,578.00,654.00,665.00,693.00,569.00
1812,[01:58:31.429],684.00,533.00,688.00,684.00,695.00,563.00
1813,[01:58:31.469],699.00,578.00,706.00,683.00,682.00,567.00
1814,[01:58:31.509],692.00,534.00,680.00,685.00,695.00,555.00
1815,[01:58:31.549],673.00,526.00,694.00,681.00,689.00,578.00
1816,[01:58:31.589],687.00,523.00,684.00,685.00,671.00,568.00
1817,[01:58:31.629],691.00,670.00,675.00,684.00,695.00,578.00
1818,[01:58:31.670],677.00,531.00,683.00,670.00,695.00,556.00
1819,[01:58:31.709],692.00,578.00,694.00,683.00,685.00,562.00
1820,[01:58:31.750],701.00,578.00,700.00,672.00,679.00,578.00
1821,[01:58:31.790],694.00,578.00,672.00,676.00,695.00,570.00
1822,[01:58:31.830],685.00,578.00,693.00,698.00,688.00,564.00
1823,[01:58:31.870],689.00,578.00,677.00,675.00,675.00,578.00
1824,[01:58:31.911],681.00,578.00,681.00,684.00,700.00,578.00
1825,[01:58:31.952],688.00,578.00,692.00,694.00,691.00,578.00
1826,[01:58:31.991],677.00,542.00,695.00,683.00,674.00,578.00
1827,[01:58:32.031],35509,27497,40615,40653,46478,37921
1828,[01:58:32.070],49849,38441,49338,49345,48246,39908
1829,[01:58:32.111],39706,30607,33815,33749,27014,22304
1830,[01:58:32.151],689.00,578.00,696.00,687.00,699.00,564.00
1831,[01:58:32.191],669.00,513.00,679.00,686.00,701.00,552.00
1832,[01:58:32.231],695.00,578.00,694.00,685.00,688.00,578.00
1833,[01:58:32.271],703.00,526.00,673.00,698.00,677.00,578.00
1834,[01:58:32.312],686.00,539.00,675.00,672.00,669.00,564.00
1835,[01:58:32.351],674.00,539.00,668.00,684.00,682.00,556.00
1836,[01:58:32.391],688.00,672.00,677.00,686.00,683.00,578.00
1837,[01:58:32.431],690.00,663.00,675.00,676.00,678.00,578.00
1838,[01:58:32.471],688.00,578.00,702.00,694.00,696.00,578.00
1839,[01:58:32.513],673.00,578.00,699.00,673.00,705.00,578.00
1840,[01:58:32.552],676.00,578.00,681.00,678.00,674.00,578.00
1841,[01:58:32.592],684.00,578.00,695.00,676.00,692.00,578.00
1842,[01:58:32.633],671.00,527.00,697.00,690.00,690.00,556.00
1843,[01:58:32.672],691.00,525.00,697.00,690.00,680.00,578.00
1844,[01:58:32.712],688.00,578.00,679.00,683.00,692.00,578.00
1845,[01:58:32.752],695.00,524.00,683.00,675.00,683.00,578.00
1846,[01:58:32.793],696.00,578.00,691.00,694.00,683.00,578.00
1847,[01:58:32.832],692.00,530.00,688.00,672.00,695.00,578.00
1848,[01:58:32.872],689.00,530.00,694.00,685.00,689.00,558.00
1849,[01:58:32.913],692.00,578.00,693.00,682.00,684.00,560.00
1850,[01:58:32.953],693.00,672.00,700.00,690.00,682.00,557.00
1851,[01:58:32.993],688.00,515.00,682.00,679.00,1689.0,1582.0
1852,[01:58:33.033],38963,29977,44165,43925,48448,39998
1853,[01:58:33.073],49875,38346,49207,48990,48350,39936
1854,[01:58:33.113],35255,26823,29193,29262,22510,18652
1855,[01:58:33.153],667.00,533.00,680.00,694.00,688.00,578.00
1856,[01:58:33.193],686.00,578.00,685.00,692.00,675.00,566.00
1857,[01:58:33.234],698.00,578.00,672.00,691.00,695.00,563.00
1858,[01:58:33.274],702.00,578.00,676.00,674.00,676.00,568.00
1859,[01:58:33.314],681.00,578.00,686.00,689.00,684.00,562.00
1860,[01:58:33.354],696.00,578.00,685.00,692.00,674.00,560.00
1861,[01:58:33.395],690.00,535.00,708.00,688.00,675.00,558.00
1862,[01:58:33.434],692.00,578.00,690.00,675.00,699.00,583.00
1863,[01:58:33.474],676.00,578.00,672.00,696.00,694.00,557.00
1864,[01:58:33.515],695.00,539.00,701.00,681.00,694.00,573.00
1865,[01:58:33.554],690.00,578.00,689.00,677.00,674.00,572.00
1866,[01:58:33.595],677.00,674.00,708.00,677.00,677.00,578.00
1867,[01:58:33.635],694.00,535.00,672.00,680.00,698.00,558.00
1868,[01:58:33.675],690.00,534.00,681.00,679.00,673.00,552.00
1869,[01:58:33.715],696.00,578.00,685.00,693.00,698.00,578.00
1870,[01:58:33.755],679.00,578.00,696.00,686.00,696.00,578.00
1871,[01:58:33.795],682.00,578.00,674.00,677.00,672.00,560.00
1872,[01:58:33.835],679.00,527.00,681.00,676.00,667.00,578.00
1873,[01:58:33.875],679.00,532.00,688.00,672.00,685.00,578.00
1874,[01:58:33.915],693.00,534.00,683.00,681.00,685.00,578.00
1875,[01:58:33.955],685.00,530.00,670.00,683.00,687.00,578.00
1876,[01:58:33.996],682.00,537.00,699.00,700.00,4933.0,4837.0
1877,[01:58:34.036],42227,32669,47208,47343,48535,40039
1878,[01:58:34.076],49730,38247,49290,49224,48231,39942
1879,[01:58:34.116],33167,25424,27168,27309,20561,17039
1880,[01:58:34.156],688.00,578.00,683.00,683.00,681.00,578.00
1881,[01:58:34.196],691.00,578.00,691.00,696.00,688.00,557.00
1882,[01:58:34.236],677.00,578.00,679.00,682.00,688.00,578.00
1883,[01:58:34.277],682.00,537.00,681.00,683.00,695.00,578.00
1884,[01:58:34.317],699.00,529.00,685.00,685.00,677.00,578.00
1885,[01:58:34.357],666.00,530.00,681.00,685.00,683.00,578.00
1886,[01:58:34.397],673.00,672.00,688.00,679.00,694.00,578.00
