Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
112,[01:57:23.242],682.00,518.00,676.00,677.00,688.00,565.00
113,[01:57:23.282],683.00,537.00,699.00,678.00,680.00,578.00
114,[01:57:23.322],677.00,530.00,683.00,672.00,691.00,556.00
115,[01:57:23.363],676.00,578.00,677.00,692.00,675.00,578.00
116,[01:57:23.403],677.00,516.00,692.00,687.00,693.00,580.00
117,[01:57:23.443],688.00,578.00,677.00,691.00,692.00,578.00
118,[01:57:23.483],668.00,578.00,687.00,682.00,699.00,555.00
119,[01:57:23.523],707.00,532.00,672.00,678.00,677.00,558.00
120,[01:57:23.564],685.00,523.00,680.00,689.00,692.00,578.00
121,[01:57:23.604],695.00,672.00,683.00,680.00,694.00,578.00
122,[01:57:23.644],681.00,673.00,688.00,694.00,681.00,578.00
123,[01:57:23.683],690.00,674.00,672.00,700.00,683.00,557.00
124,[01:57:23.724],685.00,523.00,681.00,683.00,683.00,567.00
125,[01:57:23.764],692.00,534.00,692.00,688.00,701.00,578.00
126,[01:57:23.804],674.00,578.00,679.00,690.00,684.00,563.00
127,[01:57:23.844],691.00,531.00,674.00,681.00,684.00,578.00
