Tangra v3.8.0.0
Measurments of 1 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,7,80,2,00,NaN,yes,827,0,370,0,no


FrameNo,Time (UT),Signal (1), Background (1)
0,[01:57:18.751],466.00,452.00
1,[01:57:18.790],438.00,450.00
2,[01:57:18.830],449.00,454.00
3,[01:57:18.870],436.00,454.00
4,[01:57:18.911],452.00,445.00
5,[01:57:18.951],454.00,446.00
6,[01:57:18.991],444.00,454.00
7,[01:57:19.032],27623,27452
8,[01:57:19.071],32455,32662
9,[01:57:19.111],20823,20935
10,[01:57:19.152],454.00,439.00
11,[01:57:19.191],453.00,457.00
12,[01:57:19.231],446.00,461.00
13,[01:57:19.271],455.00,461.00
14,[01:57:19.312],446.00,440.00
15,[01:57:19.352],446.00,458.00
16,[01:57:19.392],464.00,444.00
17,[01:57:19.432],455.00,447.00
18,[01:57:19.472],457.00,455.00
19,[01:57:19.512],446.00,448.00
20,[01:57:19.552],473.00,447.00
21,[01:57:19.592],440.00,452.00
22,[01:57:19.633],457.00,456.00
23,[01:57:19.672],451.00,452.00
24,[01:57:19.713],454.00,447.00
25,[01:57:19.753],437.00,459.00
26,[01:57:19.793],456.00,448.00
27,[01:57:19.833],442.00,454.00
28,[01:57:19.873],461.00,454.00
29,[01:57:19.914],449.00,439.00
30,[01:57:19.953],452.00,453.00
31,[01:57:19.994],455.00,447.00
32,[01:57:20.034],29783,29779
33,[01:57:20.074],32567,32472
34,[01:57:20.114],19621,19588
35,[01:57:20.154],457.00,454.00
36,[01:57:20.194],458.00,456.00
37,[01:57:20.234],452.00,449.00
38,[01:57:20.274],448.00,446.00
39,[01:57:20.314],453.00,452.00
40,[01:57:20.354],448.00,453.00
41,[01:57:20.395],445.00,453.00
42,[01:57:20.435],460.00,446.00
43,[01:57:20.475],448.00,448.00
44,[01:57:20.515],449.00,447.00
45,[01:57:20.555],461.00,452.00
46,[01:57:20.595],442.00,450.00
47,[01:57:20.635],446.00,459.00
48,[01:57:20.675],450.00,449.00
49,[01:57:20.715],451.00,455.00
50,[01:57:20.756],460.00,462.00
51,[01:57:20.795],444.00,457.00
52,[01:57:20.836],445.00,456.00
53,[01:57:20.876],451.00,454.00
54,[01:57:20.916],435.00,454.00
55,[01:57:20.956],449.00,456.00
56,[01:57:20.997],445.00,445.00
57,[01:57:21.036],31958,31900
58,[01:57:21.076],32599,32452
59,[01:57:21.117],17448,17471
60,[01:57:21.157],453.00,459.00
61,[01:57:21.197],465.00,454.00
62,[01:57:21.237],448.00,447.00
63,[01:57:21.277],452.00,461.00
64,[01:57:21.317],454.00,444.00
65,[01:57:21.357],444.00,448.00
66,[01:57:21.397],455.00,452.00
67,[01:57:21.437],462.00,451.00
68,[01:57:21.478],441.00,451.00
69,[01:57:21.518],458.00,448.00
70,[01:57:21.558],446.00,445.00
71,[01:57:21.598],446.00,450.00
72,[01:57:21.638],453.00,453.00
73,[01:57:21.678],439.00,450.00
74,[01:57:21.718],449.00,453.00
75,[01:57:21.758],441.00,449.00
76,[01:57:21.798],462.00,445.00
77,[01:57:21.839],452.00,443.00
78,[01:57:21.879],445.00,452.00
79,[01:57:21.919],438.00,447.00
80,[01:57:21.959],448.00,451.00
81,[01:57:21.999],1933.0,1906.0
82,[01:57:22.039],32536,32637
83,[01:57:22.079],32462,32589
84,[01:57:22.119],15220,15313
85,[01:57:22.159],443.00,458.00
86,[01:57:22.199],446.00,454.00
87,[01:57:22.240],454.00,449.00
88,[01:57:22.280],448.00,451.00
89,[01:57:22.320],458.00,446.00
90,[01:57:22.360],450.00,453.00
91,[01:57:22.400],456.00,441.00
92,[01:57:22.440],446.00,458.00
93,[01:57:22.480],442.00,448.00
94,[01:57:22.520],455.00,449.00
95,[01:57:22.560],453.00,456.00
96,[01:57:22.601],442.00,445.00
97,[01:57:22.641],444.00,445.00
98,[01:57:22.681],447.00,453.00
99,[01:57:22.721],456.00,448.00
100,[01:57:22.761],443.00,450.00
101,[01:57:22.801],451.00,446.00
102,[01:57:22.841],453.00,459.00
103,[01:57:22.881],438.00,455.00
104,[01:57:22.921],439.00,448.00
105,[01:57:22.961],453.00,459.00
106,[01:57:23.002],4122.0,4126.0
107,[01:57:23.042],32618,32488
108,[01:57:23.082],32433,32447
109,[01:57:23.122],13104,13082
110,[01:57:23.162],444.00,453.00
111,[01:57:23.202],450.00,449.00
112,[01:57:23.242],437.00,451.00
113,[01:57:23.282],447.00,447.00
114,[01:57:23.322],453.00,447.00
115,[01:57:23.363],428.00,453.00
116,[01:57:23.403],450.00,453.00
117,[01:57:23.443],438.00,452.00
118,[01:57:23.483],459.00,454.00
119,[01:57:23.523],445.00,449.00
120,[01:57:23.564],455.00,451.00
121,[01:57:23.604],444.00,451.00
122,[01:57:23.644],459.00,454.00
123,[01:57:23.683],446.00,451.00
124,[01:57:23.724],454.00,446.00
125,[01:57:23.764],447.00,447.00
126,[01:57:23.804],448.00,447.00
127,[01:57:23.844],449.00,459.00
128,[01:57:23.884],447.00,457.00
129,[01:57:23.925],456.00,454.00
130,[01:57:23.964],441.00,450.00
131,[01:57:24.004],6302.0,6297.0
132,[01:57:24.045],32725,32557
133,[01:57:24.085],32504,32514
134,[01:57:24.125],9313.0,9221.0
135,[01:57:24.165],456.00,448.00
136,[01:57:24.205],447.00,452.00
137,[01:57:24.245],457.00,456.00
138,[01:57:24.285],456.00,454.00
139,[01:57:24.325],449.00,442.00
140,[01:57:24.365],454.00,442.00
141,[01:57:24.405],452.00,451.00
142,[01:57:24.446],450.00,445.00
143,[01:57:24.486],457.00,453.00
144,[01:57:24.526],443.00,439.00
145,[01:57:24.566],459.00,451.00
146,[01:57:24.606],438.00,454.00
147,[01:57:24.647],446.00,451.00
148,[01:57:24.686],441.00,451.00
149,[01:57:24.726],449.00,451.00
150,[01:57:24.767],443.00,448.00
151,[01:57:24.807],454.00,457.00
152,[01:57:24.847],454.00,449.00
153,[01:57:24.887],447.00,449.00
154,[01:57:24.927],456.00,446.00
155,[01:57:24.967],448.00,451.00
156,[01:57:25.007],8439.0,8522.0
157,[01:57:25.047],32518,32555
158,[01:57:25.087],32488,32439
159,[01:57:25.128],7912.0,7941.0
160,[01:57:25.168],444.00,451.00
161,[01:57:25.208],458.00,449.00
162,[01:57:25.248],448.00,452.00
163,[01:57:25.288],455.00,453.00
164,[01:57:25.328],451.00,447.00
165,[01:57:25.368],442.00,463.00
166,[01:57:25.408],444.00,453.00
167,[01:57:25.448],448.00,446.00
168,[01:57:25.488],441.00,452.00
169,[01:57:25.529],456.00,460.00
170,[01:57:25.569],448.00,446.00
171,[01:57:25.609],443.00,453.00
172,[01:57:25.649],458.00,447.00
173,[01:57:25.689],460.00,443.00
174,[01:57:25.729],452.00,460.00
175,[01:57:25.769],456.00,451.00
176,[01:57:25.809],457.00,444.00
177,[01:57:25.849],450.00,446.00
178,[01:57:25.890],450.00,460.00
179,[01:57:25.930],454.00,453.00
180,[01:57:25.970],452.00,444.00
181,[01:57:26.011],10765,10643
182,[01:57:26.050],32566,32547
183,[01:57:26.090],32367,32571
184,[01:57:26.131],4973.0,4956.0
185,[01:57:26.170],445.00,448.00
186,[01:57:26.210],453.00,457.00
187,[01:57:26.251],450.00,456.00
188,[01:57:26.291],451.00,448.00
189,[01:57:26.331],445.00,457.00
190,[01:57:26.371],441.00,450.00
191,[01:57:26.411],462.00,459.00
192,[01:57:26.452],454.00,446.00
193,[01:57:26.491],451.00,455.00
194,[01:57:26.531],455.00,447.00
195,[01:57:26.571],452.00,448.00
196,[01:57:26.612],439.00,443.00
197,[01:57:26.652],468.00,441.00
198,[01:57:26.692],456.00,444.00
199,[01:57:26.732],462.00,448.00
200,[01:57:26.772],455.00,444.00
201,[01:57:26.812],446.00,461.00
202,[01:57:26.852],453.00,450.00
203,[01:57:26.892],439.00,451.00
204,[01:57:26.933],449.00,449.00
205,[01:57:26.972],439.00,454.00
206,[01:57:27.013],12868,12978
207,[01:57:27.053],32503,32606
208,[01:57:27.093],32572,32525
209,[01:57:27.134],3655.0,3648.0
210,[01:57:27.173],450.00,453.00
211,[01:57:27.213],450.00,452.00
212,[01:57:27.253],454.00,461.00
213,[01:57:27.293],463.00,451.00
214,[01:57:27.334],448.00,454.00
215,[01:57:27.374],453.00,446.00
216,[01:57:27.414],450.00,438.00
217,[01:57:27.454],453.00,444.00
218,[01:57:27.495],457.00,445.00
219,[01:57:27.534],451.00,453.00
220,[01:57:27.574],454.00,446.00
221,[01:57:27.614],452.00,453.00
222,[01:57:27.654],462.00,455.00
223,[01:57:27.695],452.00,462.00
224,[01:57:27.735],448.00,454.00
225,[01:57:27.775],451.00,450.00
226,[01:57:27.815],444.00,454.00
227,[01:57:27.855],460.00,451.00
228,[01:57:27.895],453.00,449.00
229,[01:57:27.935],457.00,450.00
230,[01:57:27.975],440.00,452.00
231,[01:57:28.016],15186,15074
232,[01:57:28.055],32483,32638
233,[01:57:28.096],32397,32637
234,[01:57:28.136],687.00,683.00
235,[01:57:28.176],453.00,446.00
236,[01:57:28.216],449.00,440.00
237,[01:57:28.256],445.00,454.00
238,[01:57:28.296],445.00,448.00
239,[01:57:28.336],458.00,450.00
240,[01:57:28.376],448.00,447.00
241,[01:57:28.416],448.00,446.00
242,[01:57:28.457],460.00,464.00
243,[01:57:28.497],448.00,443.00
244,[01:57:28.537],460.00,455.00
245,[01:57:28.577],447.00,450.00
246,[01:57:28.617],439.00,452.00
247,[01:57:28.657],442.00,452.00
248,[01:57:28.697],445.00,450.00
249,[01:57:28.737],451.00,451.00
250,[01:57:28.777],442.00,460.00
251,[01:57:28.818],451.00,451.00
252,[01:57:28.858],437.00,450.00
253,[01:57:28.898],435.00,443.00
254,[01:57:28.938],450.00,445.00
255,[01:57:28.978],452.00,448.00
256,[01:57:29.018],17351,17204
257,[01:57:29.058],32484,32535
258,[01:57:29.098],31434,31624
259,[01:57:29.138],459.00,448.00
260,[01:57:29.178],444.00,453.00
261,[01:57:29.219],445.00,445.00
262,[01:57:29.259],450.00,449.00
263,[01:57:29.299],436.00,443.00
264,[01:57:29.339],463.00,452.00
265,[01:57:29.379],456.00,449.00
266,[01:57:29.419],449.00,437.00
267,[01:57:29.460],434.00,451.00
268,[01:57:29.500],455.00,448.00
269,[01:57:29.539],451.00,452.00
270,[01:57:29.580],446.00,462.00
271,[01:57:29.620],451.00,444.00
272,[01:57:29.660],449.00,458.00
273,[01:57:29.700],451.00,452.00
274,[01:57:29.740],458.00,448.00
275,[01:57:29.780],443.00,450.00
276,[01:57:29.820],465.00,451.00
277,[01:57:29.860],453.00,446.00
278,[01:57:29.901],457.00,446.00
279,[01:57:29.941],451.00,448.00
280,[01:57:29.981],450.00,443.00
281,[01:57:30.021],19398,19523
282,[01:57:30.061],32585,32494
283,[01:57:30.101],29177,29321
284,[01:57:30.141],439.00,448.00
285,[01:57:30.181],460.00,452.00
286,[01:57:30.221],453.00,447.00
287,[01:57:30.261],450.00,445.00
288,[01:57:30.302],445.00,454.00
289,[01:57:30.342],447.00,447.00
290,[01:57:30.382],445.00,460.00
291,[01:57:30.422],447.00,456.00
292,[01:57:30.462],455.00,450.00
293,[01:57:30.502],435.00,451.00
294,[01:57:30.542],441.00,443.00
295,[01:57:30.582],456.00,453.00
296,[01:57:30.622],457.00,459.00
297,[01:57:30.662],451.00,448.00
298,[01:57:30.703],453.00,451.00
299,[01:57:30.743],439.00,455.00
300,[01:57:30.783],443.00,452.00
301,[01:57:30.823],455.00,449.00
302,[01:57:30.863],448.00,456.00
303,[01:57:30.903],453.00,451.00
304,[01:57:30.943],446.00,460.00
305,[01:57:30.985],451.00,454.00
306,[01:57:31.024],21662,21684
307,[01:57:31.064],32493,32555
308,[01:57:31.104],27248,27152
309,[01:57:31.144],471.00,441.00
310,[01:57:31.184],450.00,452.00
311,[01:57:31.224],435.00,450.00
312,[01:57:31.265],454.00,460.00
313,[01:57:31.304],438.00,437.00
314,[01:57:31.344],455.00,448.00
315,[01:57:31.385],449.00,448.00
316,[01:57:31.425],445.00,451.00
317,[01:57:31.465],455.00,446.00
318,[01:57:31.505],449.00,452.00
319,[01:57:31.545],447.00,446.00
320,[01:57:31.585],450.00,457.00
321,[01:57:31.625],456.00,456.00
322,[01:57:31.666],440.00,452.00
323,[01:57:31.705],444.00,438.00
324,[01:57:31.746],449.00,453.00
325,[01:57:31.786],453.00,457.00
326,[01:57:31.826],451.00,450.00
327,[01:57:31.866],455.00,451.00
328,[01:57:31.906],449.00,446.00
329,[01:57:31.947],446.00,459.00
330,[01:57:31.986],452.00,455.00
331,[01:57:32.026],23878,23903
332,[01:57:32.067],32526,32541
333,[01:57:32.107],24989,25004
334,[01:57:32.147],454.00,449.00
335,[01:57:32.187],442.00,460.00
336,[01:57:32.228],450.00,452.00
337,[01:57:32.267],447.00,454.00
338,[01:57:32.307],442.00,458.00
339,[01:57:32.347],441.00,452.00
340,[01:57:32.387],460.00,452.00
341,[01:57:32.427],448.00,450.00
342,[01:57:32.468],448.00,444.00
343,[01:57:32.509],443.00,456.00
344,[01:57:32.548],446.00,450.00
345,[01:57:32.588],438.00,448.00
346,[01:57:32.628],435.00,456.00
347,[01:57:32.668],457.00,461.00
348,[01:57:32.708],445.00,450.00
349,[01:57:32.749],451.00,450.00
350,[01:57:32.788],451.00,457.00
351,[01:57:32.829],438.00,448.00
352,[01:57:32.869],442.00,441.00
353,[01:57:32.909],455.00,446.00
354,[01:57:32.949],457.00,453.00
355,[01:57:32.989],453.00,452.00
356,[01:57:33.029],26112,26097
357,[01:57:33.069],32537,32383
358,[01:57:33.109],22062,21924
359,[01:57:33.149],442.00,454.00
360,[01:57:33.189],456.00,454.00
361,[01:57:33.230],456.00,448.00
362,[01:57:33.270],450.00,449.00
363,[01:57:33.310],449.00,448.00
364,[01:57:33.350],449.00,445.00
365,[01:57:33.390],451.00,448.00
366,[01:57:33.430],437.00,447.00
367,[01:57:33.470],445.00,441.00
368,[01:57:33.510],442.00,448.00
369,[01:57:33.551],455.00,449.00
370,[01:57:33.591],436.00,441.00
371,[01:57:33.631],451.00,453.00
372,[01:57:33.671],438.00,452.00
373,[01:57:33.711],463.00,443.00
374,[01:57:33.751],454.00,464.00
375,[01:57:33.791],445.00,452.00
376,[01:57:33.831],462.00,441.00
377,[01:57:33.871],454.00,438.00
378,[01:57:33.911],453.00,450.00
379,[01:57:33.951],447.00,449.00
380,[01:57:33.992],448.00,444.00
381,[01:57:34.032],28325,28271
382,[01:57:34.072],32482,32545
383,[01:57:34.112],20675,20682
384,[01:57:34.153],444.00,448.00
385,[01:57:34.193],466.00,460.00
386,[01:57:34.232],446.00,451.00
387,[01:57:34.272],441.00,451.00
388,[01:57:34.313],437.00,452.00
389,[01:57:34.353],455.00,451.00
390,[01:57:34.393],458.00,458.00
391,[01:57:34.433],437.00,450.00
392,[01:57:34.473],454.00,447.00
393,[01:57:34.513],451.00,450.00
394,[01:57:34.553],458.00,448.00
395,[01:57:34.593],437.00,460.00
396,[01:57:34.634],456.00,451.00
397,[01:57:34.674],460.00,446.00
398,[01:57:34.714],444.00,454.00
399,[01:57:34.754],458.00,453.00
400,[01:57:34.794],456.00,458.00
401,[01:57:34.835],453.00,447.00
402,[01:57:34.874],451.00,452.00
403,[01:57:34.915],438.00,450.00
404,[01:57:34.954],444.00,457.00
405,[01:57:34.994],448.00,453.00
406,[01:57:35.035],30688,30515
407,[01:57:35.075],32550,32577
408,[01:57:35.115],17593,17645
409,[01:57:35.155],444.00,458.00
410,[01:57:35.195],439.00,451.00
411,[01:57:35.235],438.00,448.00
412,[01:57:35.275],452.00,449.00
413,[01:57:35.315],460.00,451.00
414,[01:57:35.355],439.00,443.00
415,[01:57:35.396],452.00,455.00
416,[01:57:35.435],444.00,443.00
417,[01:57:35.476],451.00,460.00
418,[01:57:35.516],446.00,448.00
419,[01:57:35.556],449.00,452.00
420,[01:57:35.596],445.00,448.00
421,[01:57:35.636],455.00,459.00
422,[01:57:35.677],452.00,448.00
423,[01:57:35.716],448.00,450.00
424,[01:57:35.757],439.00,454.00
425,[01:57:35.797],456.00,446.00
426,[01:57:35.837],444.00,454.00
427,[01:57:35.877],442.00,465.00
428,[01:57:35.917],448.00,445.00
429,[01:57:35.957],457.00,443.00
430,[01:57:35.997],540.00,550.00
431,[01:57:36.037],32622,32554
432,[01:57:36.077],32321,32491
433,[01:57:36.118],16281,16343
434,[01:57:36.158],448.00,456.00
435,[01:57:36.198],452.00,446.00
436,[01:57:36.238],445.00,447.00
437,[01:57:36.278],448.00,450.00
438,[01:57:36.319],460.00,445.00
439,[01:57:36.358],447.00,445.00
440,[01:57:36.399],458.00,443.00
441,[01:57:36.438],439.00,446.00
442,[01:57:36.479],449.00,453.00
443,[01:57:36.519],445.00,455.00
444,[01:57:36.559],463.00,453.00
445,[01:57:36.599],454.00,453.00
446,[01:57:36.639],450.00,445.00
447,[01:57:36.679],453.00,447.00
448,[01:57:36.719],443.00,445.00
449,[01:57:36.759],454.00,448.00
450,[01:57:36.800],441.00,451.00
451,[01:57:36.839],446.00,454.00
452,[01:57:36.880],447.00,447.00
453,[01:57:36.920],440.00,445.00
454,[01:57:36.960],455.00,450.00
455,[01:57:37.000],2691.0,2679.0
456,[01:57:37.040],32615,32595
457,[01:57:37.080],32528,32499
458,[01:57:37.120],13306,13258
459,[01:57:37.160],450.00,441.00
460,[01:57:37.201],443.00,455.00
461,[01:57:37.240],441.00,453.00
462,[01:57:37.280],445.00,454.00
463,[01:57:37.321],458.00,445.00
464,[01:57:37.361],450.00,447.00
465,[01:57:37.401],437.00,460.00
466,[01:57:37.442],446.00,447.00
467,[01:57:37.481],451.00,452.00
468,[01:57:37.521],448.00,453.00
469,[01:57:37.562],457.00,452.00
470,[01:57:37.602],453.00,460.00
471,[01:57:37.642],446.00,441.00
472,[01:57:37.682],443.00,449.00
473,[01:57:37.722],459.00,445.00
474,[01:57:37.762],444.00,448.00
475,[01:57:37.803],443.00,453.00
476,[01:57:37.842],456.00,447.00
477,[01:57:37.883],459.00,445.00
478,[01:57:37.922],450.00,447.00
479,[01:57:37.962],450.00,445.00
480,[01:57:38.003],4841.0,4890.0
481,[01:57:38.043],32494,32555
482,[01:57:38.083],32502,32486
483,[01:57:38.123],11935,11973
484,[01:57:38.163],446.00,454.00
485,[01:57:38.203],451.00,449.00
486,[01:57:38.243],446.00,454.00
487,[01:57:38.284],460.00,443.00
488,[01:57:38.323],446.00,449.00
489,[01:57:38.364],444.00,440.00
490,[01:57:38.404],455.00,449.00
491,[01:57:38.444],453.00,450.00
492,[01:57:38.484],450.00,453.00
493,[01:57:38.524],448.00,448.00
494,[01:57:38.565],451.00,456.00
495,[01:57:38.604],434.00,450.00
496,[01:57:38.645],445.00,446.00
497,[01:57:38.684],451.00,454.00
498,[01:57:38.725],459.00,438.00
499,[01:57:38.765],461.00,441.00
500,[01:57:38.805],465.00,456.00
501,[01:57:38.845],442.00,452.00
502,[01:57:38.885],458.00,454.00
503,[01:57:38.925],459.00,454.00
504,[01:57:38.966],451.00,466.00
505,[01:57:39.005],7072.0,7113.0
506,[01:57:39.045],32437,32636
507,[01:57:39.086],32444,32541
508,[01:57:39.126],9741.0,9807.0
509,[01:57:39.166],448.00,457.00
510,[01:57:39.206],458.00,445.00
511,[01:57:39.247],453.00,448.00
512,[01:57:39.286],444.00,452.00
513,[01:57:39.326],454.00,450.00
514,[01:57:39.366],455.00,450.00
515,[01:57:39.406],449.00,448.00
516,[01:57:39.447],440.00,449.00
517,[01:57:39.487],457.00,446.00
518,[01:57:39.527],458.00,456.00
519,[01:57:39.567],442.00,456.00
520,[01:57:39.607],456.00,449.00
521,[01:57:39.647],446.00,454.00
522,[01:57:39.687],445.00,441.00
523,[01:57:39.728],450.00,452.00
524,[01:57:39.768],448.00,449.00
525,[01:57:39.808],443.00,453.00
526,[01:57:39.848],442.00,449.00
527,[01:57:39.888],453.00,449.00
528,[01:57:39.928],451.00,448.00
529,[01:57:39.968],455.00,457.00
530,[01:57:40.008],9301.0,9271.0
531,[01:57:40.048],32553,32473
532,[01:57:40.088],32568,32508
533,[01:57:40.128],7630.0,7715.0
534,[01:57:40.168],446.00,450.00
535,[01:57:40.209],455.00,451.00
536,[01:57:40.249],443.00,452.00
537,[01:57:40.289],455.00,453.00
538,[01:57:40.329],451.00,446.00
539,[01:57:40.369],449.00,460.00
540,[01:57:40.409],454.00,450.00
541,[01:57:40.450],445.00,453.00
542,[01:57:40.489],459.00,440.00
543,[01:57:40.530],470.00,444.00
544,[01:57:40.569],455.00,450.00
545,[01:57:40.610],443.00,442.00
546,[01:57:40.650],445.00,450.00
547,[01:57:40.690],453.00,446.00
548,[01:57:40.730],453.00,445.00
549,[01:57:40.770],466.00,448.00
550,[01:57:40.811],442.00,450.00
551,[01:57:40.851],457.00,448.00
552,[01:57:40.891],461.00,461.00
553,[01:57:40.931],453.00,447.00
554,[01:57:40.971],454.00,440.00
555,[01:57:41.011],11489,11488
556,[01:57:41.051],32469,32538
557,[01:57:41.091],32454,32466
558,[01:57:41.131],5500.0,5513.0
559,[01:57:41.171],451.00,450.00
560,[01:57:41.211],458.00,457.00
561,[01:57:41.251],444.00,461.00
562,[01:57:41.292],454.00,451.00
563,[01:57:41.332],441.00,446.00
564,[01:57:41.372],450.00,451.00
565,[01:57:41.412],462.00,448.00
566,[01:57:41.452],450.00,457.00
567,[01:57:41.492],452.00,452.00
568,[01:57:41.533],456.00,460.00
569,[01:57:41.572],454.00,451.00
570,[01:57:41.613],441.00,463.00
571,[01:57:41.653],443.00,461.00
572,[01:57:41.693],448.00,450.00
573,[01:57:41.733],439.00,450.00
574,[01:57:41.773],459.00,454.00
575,[01:57:41.814],443.00,444.00
576,[01:57:41.853],455.00,452.00
577,[01:57:41.894],451.00,447.00
578,[01:57:41.933],437.00,439.00
579,[01:57:41.973],450.00,443.00
580,[01:57:42.014],13787,13671
581,[01:57:42.054],32705,32573
582,[01:57:42.094],32540,32351
583,[01:57:42.135],3359.0,3369.0
584,[01:57:42.174],444.00,444.00
585,[01:57:42.214],448.00,444.00
586,[01:57:42.254],457.00,454.00
587,[01:57:42.295],451.00,447.00
588,[01:57:42.335],438.00,444.00
589,[01:57:42.375],452.00,441.00
590,[01:57:42.415],451.00,459.00
591,[01:57:42.455],437.00,455.00
592,[01:57:42.495],452.00,454.00
593,[01:57:42.535],441.00,452.00
594,[01:57:42.575],455.00,449.00
595,[01:57:42.615],454.00,441.00
596,[01:57:42.655],446.00,459.00
597,[01:57:42.696],449.00,439.00
598,[01:57:42.735],434.00,448.00
599,[01:57:42.776],442.00,451.00
600,[01:57:42.817],456.00,451.00
601,[01:57:42.856],443.00,452.00
602,[01:57:42.897],455.00,459.00
603,[01:57:42.936],441.00,457.00
604,[01:57:42.976],454.00,449.00
605,[01:57:43.017],15966,15838
606,[01:57:43.056],32549,32637
607,[01:57:43.097],32477,32564
608,[01:57:43.136],1186.0,1210.0
609,[01:57:43.177],458.00,455.00
610,[01:57:43.217],450.00,447.00
611,[01:57:43.257],443.00,452.00
612,[01:57:43.298],450.00,448.00
613,[01:57:43.337],446.00,447.00
614,[01:57:43.378],449.00,455.00
615,[01:57:43.418],454.00,449.00
616,[01:57:43.457],450.00,451.00
617,[01:57:43.498],446.00,448.00
618,[01:57:43.538],448.00,441.00
619,[01:57:43.578],443.00,453.00
620,[01:57:43.618],455.00,456.00
621,[01:57:43.658],440.00,451.00
622,[01:57:43.698],455.00,452.00
623,[01:57:43.738],448.00,447.00
624,[01:57:43.779],436.00,459.00
625,[01:57:43.819],455.00,450.00
626,[01:57:43.859],445.00,451.00
627,[01:57:43.899],438.00,458.00
628,[01:57:43.939],457.00,448.00
629,[01:57:43.979],461.00,462.00
630,[01:57:44.019],18111,18107
631,[01:57:44.060],32697,32636
632,[01:57:44.100],30199,30415
633,[01:57:44.139],454.00,445.00
634,[01:57:44.179],453.00,447.00
635,[01:57:44.220],458.00,451.00
636,[01:57:44.260],449.00,445.00
637,[01:57:44.300],438.00,447.00
638,[01:57:44.340],446.00,451.00
639,[01:57:44.381],454.00,455.00
640,[01:57:44.420],449.00,450.00
641,[01:57:44.460],454.00,450.00
642,[01:57:44.500],451.00,438.00
643,[01:57:44.541],454.00,457.00
644,[01:57:44.581],452.00,455.00
645,[01:57:44.621],443.00,446.00
646,[01:57:44.661],449.00,459.00
647,[01:57:44.701],459.00,454.00
648,[01:57:44.741],464.00,451.00
649,[01:57:44.781],446.00,452.00
650,[01:57:44.821],444.00,458.00
651,[01:57:44.861],445.00,449.00
652,[01:57:44.902],449.00,450.00
653,[01:57:44.942],448.00,443.00
654,[01:57:44.982],466.00,451.00
655,[01:57:45.022],20321,20268
656,[01:57:45.062],32626,32546
657,[01:57:45.102],29067,29032
658,[01:57:45.142],450.00,456.00
659,[01:57:45.182],453.00,447.00
660,[01:57:45.222],440.00,456.00
661,[01:57:45.263],449.00,457.00
662,[01:57:45.303],442.00,445.00
663,[01:57:45.343],445.00,457.00
664,[01:57:45.383],450.00,447.00
665,[01:57:45.423],445.00,449.00
666,[01:57:45.464],437.00,452.00
667,[01:57:45.503],445.00,447.00
668,[01:57:45.543],444.00,443.00
669,[01:57:45.583],449.00,450.00
670,[01:57:45.623],450.00,450.00
671,[01:57:45.663],437.00,451.00
672,[01:57:45.704],460.00,456.00
673,[01:57:45.744],444.00,456.00
674,[01:57:45.784],441.00,450.00
675,[01:57:45.824],446.00,453.00
676,[01:57:45.864],445.00,457.00
677,[01:57:45.904],455.00,448.00
678,[01:57:45.944],447.00,457.00
679,[01:57:45.984],460.00,445.00
680,[01:57:46.025],22514,22501
681,[01:57:46.065],32543,32517
682,[01:57:46.105],25972,25991
683,[01:57:46.145],449.00,452.00
684,[01:57:46.186],450.00,441.00
685,[01:57:46.225],444.00,446.00
686,[01:57:46.265],451.00,446.00
687,[01:57:46.305],459.00,456.00
688,[01:57:46.345],443.00,449.00
689,[01:57:46.385],461.00,453.00
690,[01:57:46.426],446.00,447.00
691,[01:57:46.466],443.00,453.00
692,[01:57:46.506],449.00,453.00
693,[01:57:46.546],454.00,446.00
694,[01:57:46.586],450.00,456.00
695,[01:57:46.626],445.00,438.00
696,[01:57:46.666],447.00,458.00
697,[01:57:46.706],460.00,448.00
698,[01:57:46.746],438.00,461.00
699,[01:57:46.787],451.00,456.00
700,[01:57:46.827],436.00,451.00
701,[01:57:46.868],448.00,445.00
702,[01:57:46.907],442.00,451.00
703,[01:57:46.947],435.00,450.00
704,[01:57:46.987],440.00,456.00
705,[01:57:47.027],24713,24736
706,[01:57:47.067],32506,32562
707,[01:57:47.107],24708,24573
708,[01:57:47.148],457.00,445.00
709,[01:57:47.188],458.00,452.00
710,[01:57:47.228],455.00,448.00
711,[01:57:47.269],455.00,444.00
712,[01:57:47.308],444.00,450.00
713,[01:57:47.348],454.00,450.00
714,[01:57:47.388],448.00,451.00
715,[01:57:47.429],456.00,453.00
716,[01:57:47.468],462.00,454.00
717,[01:57:47.509],445.00,452.00
718,[01:57:47.549],454.00,454.00
719,[01:57:47.589],459.00,452.00
720,[01:57:47.629],453.00,451.00
