Tangra v3.7.0.3
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\2022-10-23 Eurybate\Didier\delai-acquisition\02_47_20.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,ZWO ASI 178 MM PRO,,0,255,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,6,15,3,50,NaN,yes,483,0,27,0,no
2,ComparisonStar,6,15,,NaN,yes,501,0,522,0,no
3,ComparisonStar,6,15,,NaN,yes,484,0,1003,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
238,[02:47:30.391],30.000,24.000,21.000,0.0000,29.000,0.0000
239,[02:47:30.431],27.000,0.0000,30.000,0.0000,39.000,21.000
240,[02:47:30.471],35.000,22.000,22.000,20.000,53.000,25.000
241,[02:47:30.511],25.000,21.000,33.000,0.0000,47.000,0.0000
242,[02:47:30.550],26.000,0.0000,28.000,0.0000,38.000,31.000
243,[02:47:30.590],34.000,0.0000,28.000,0.0000,36.000,23.000
244,[02:47:30.630],33.000,21.000,28.000,0.0000,32.000,0.0000
245,[02:47:30.670],42.000,35.000,24.000,0.0000,42.000,21.000
246,[02:47:30.711],36.000,0.0000,24.000,28.000,34.000,35.000
247,[02:47:30.750],37.000,35.000,39.000,0.0000,35.000,23.000
248,[02:47:30.791],31.000,24.000,31.000,0.0000,39.000,32.000
249,[02:47:30.831],31.000,23.000,30.000,0.0000,38.000,20.000
250,[02:47:30.871],29.000,43.000,22.000,0.0000,45.000,37.000
251,[02:47:30.912],26.000,0.0000,22.000,0.0000,50.000,33.000
252,[02:47:30.951],30.000,20.000,13.000,0.0000,41.000,21.000
253,[02:47:30.991],38.000,0.0000,28.000,0.0000,2828.0,2780.0
254,[02:47:31.031],4101.0,4005.0,9594.0,9561.0,12627,12612
255,[02:47:31.070],11814,11735,11980,12070,12568,12588
